depth	# bases at depth	size of A	% of A at depth
687	2464	3137161264	0.0000008
688	2434	3137161264	0.0000008
689	2490	3137161264	0.0000008
690	2462	3137161264	0.0000008
691	2478	3137161264	0.0000008
692	2445	3137161264	0.0000008
693	2558	3137161264	0.0000008
694	2317	3137161264	0.0000007
695	2385	3137161264	0.0000008
696	2435	3137161264	0.0000008
697	2415	3137161264	0.0000008
698	2373	3137161264	0.0000008
699	2362	3137161264	0.0000008
700	2212	3137161264	0.0000007
701	2283	3137161264	0.0000007
702	2307	3137161264	0.0000007
703	2256	3137161264	0.0000007
704	2186	3137161264	0.0000007
705	2313	3137161264	0.0000007
706	2234	3137161264	0.0000007
707	2238	3137161264	0.0000007
708	2231	3137161264	0.0000007
709	2340	3137161264	0.0000007
710	2273	3137161264	0.0000007
711	2197	3137161264	0.0000007
712	2080	3137161264	0.0000007
713	2341	3137161264	0.0000007
714	2165	3137161264	0.0000007
715	2209	3137161264	0.0000007
716	2148	3137161264	0.0000007
717	2229	3137161264	0.0000007
718	2127	3137161264	0.0000007
719	2112	3137161264	0.0000007
720	2154	3137161264	0.0000007
721	2021	3137161264	0.0000006
722	2077	3137161264	0.0000007
723	2004	3137161264	0.0000006
724	2137	3137161264	0.0000007
725	2154	3137161264	0.0000007
726	2056	3137161264	0.0000007
727	2064	3137161264	0.0000007
728	2100	3137161264	0.0000007
729	2056	3137161264	0.0000007
730	2057	3137161264	0.0000007
731	1924	3137161264	0.0000006
732	1994	3137161264	0.0000006
733	1966	3137161264	0.0000006
734	2052	3137161264	0.0000007
735	1923	3137161264	0.0000006
736	1924	3137161264	0.0000006
737	1964	3137161264	0.0000006
738	1954	3137161264	0.0000006
739	1988	3137161264	0.0000006
740	1941	3137161264	0.0000006
741	1828	3137161264	0.0000006
742	1862	3137161264	0.0000006
743	1872	3137161264	0.0000006
744	1817	3137161264	0.0000006
745	1911	3137161264	0.0000006
746	1901	3137161264	0.0000006
747	1874	3137161264	0.0000006
748	1831	3137161264	0.0000006
749	1780	3137161264	0.0000006
750	1776	3137161264	0.0000006
751	1840	3137161264	0.0000006
752	1807	3137161264	0.0000006
753	1708	3137161264	0.0000005
754	1777	3137161264	0.0000006
755	1802	3137161264	0.0000006
756	1763	3137161264	0.0000006
757	1709	3137161264	0.0000005
758	1628	3137161264	0.0000005
759	1623	3137161264	0.0000005
760	1712	3137161264	0.0000005
761	1708	3137161264	0.0000005
762	1721	3137161264	0.0000005
763	1729	3137161264	0.0000006
764	1608	3137161264	0.0000005
765	1726	3137161264	0.0000006
766	1725	3137161264	0.0000005
767	1600	3137161264	0.0000005
768	1688	3137161264	0.0000005
769	1550	3137161264	0.0000005
770	1682	3137161264	0.0000005
771	1627	3137161264	0.0000005
772	1605	3137161264	0.0000005
773	1609	3137161264	0.0000005
774	1703	3137161264	0.0000005
775	1629	3137161264	0.0000005
776	1654	3137161264	0.0000005
777	1576	3137161264	0.0000005
778	1612	3137161264	0.0000005
779	1648	3137161264	0.0000005
780	1568	3137161264	0.0000005
781	1627	3137161264	0.0000005
782	1583	3137161264	0.0000005
783	1558	3137161264	0.0000005
784	1602	3137161264	0.0000005
785	1661	3137161264	0.0000005
786	1738	3137161264	0.0000006
787	1641	3137161264	0.0000005
788	1573	3137161264	0.0000005
789	1563	3137161264	0.0000005
790	1535	3137161264	0.0000005
791	1581	3137161264	0.0000005
792	1625	3137161264	0.0000005
793	1637	3137161264	0.0000005
794	1523	3137161264	0.0000005
795	1557	3137161264	0.0000005
796	1533	3137161264	0.0000005
797	1456	3137161264	0.0000005
798	1461	3137161264	0.0000005
799	1519	3137161264	0.0000005
800	1582	3137161264	0.0000005
801	1514	3137161264	0.0000005
802	1491	3137161264	0.0000005
803	1482	3137161264	0.0000005
804	1388	3137161264	0.0000004
805	1525	3137161264	0.0000005
806	1463	3137161264	0.0000005
807	1542	3137161264	0.0000005
808	1536	3137161264	0.0000005
809	1523	3137161264	0.0000005
810	1434	3137161264	0.0000005
811	1419	3137161264	0.0000005
812	1416	3137161264	0.0000005
813	1540	3137161264	0.0000005
814	1454	3137161264	0.0000005
815	1462	3137161264	0.0000005
816	1370	3137161264	0.0000004
817	1438	3137161264	0.0000005
818	1366	3137161264	0.0000004
819	1371	3137161264	0.0000004
820	1393	3137161264	0.0000004
821	1370	3137161264	0.0000004
822	1447	3137161264	0.0000005
823	1429	3137161264	0.0000005
824	1437	3137161264	0.0000005
825	1347	3137161264	0.0000004
826	1471	3137161264	0.0000005
827	1310	3137161264	0.0000004
828	1341	3137161264	0.0000004
829	1320	3137161264	0.0000004
830	1444	3137161264	0.0000005
831	1410	3137161264	0.0000004
832	1416	3137161264	0.0000005
833	1366	3137161264	0.0000004
834	1373	3137161264	0.0000004
835	1334	3137161264	0.0000004
836	1374	3137161264	0.0000004
837	1344	3137161264	0.0000004
838	1312	3137161264	0.0000004
839	1344	3137161264	0.0000004
840	1317	3137161264	0.0000004
841	1349	3137161264	0.0000004
842	1295	3137161264	0.0000004
843	1386	3137161264	0.0000004
844	1302	3137161264	0.0000004
845	1312	3137161264	0.0000004
846	1411	3137161264	0.0000004
847	1303	3137161264	0.0000004
848	1337	3137161264	0.0000004
849	1277	3137161264	0.0000004
850	1336	3137161264	0.0000004
851	1336	3137161264	0.0000004
852	1189	3137161264	0.0000004
853	1298	3137161264	0.0000004
854	1263	3137161264	0.0000004
855	1236	3137161264	0.0000004
856	1290	3137161264	0.0000004
857	1179	3137161264	0.0000004
858	1277	3137161264	0.0000004
859	1324	3137161264	0.0000004
860	1331	3137161264	0.0000004
